catégorie;CodeReferentielReparation;Désignation;Unité;Démolitions / Déblais;Étape de production;Étape du processus de construction ;Étape d’utilisation ;Étape de fin de vie ;Total cycle de vie en kg CO² eq;Durée de vie;Incertitude;Date de modification
SOL;SOL_1;Arrachage tous types de revêtements souple ou dur;M2;7,82;0;0;0;0;7,82;25;1;02/05/2024
SOL;SOL_2;Arrachage parquet traditionnel cloué ou collé;M2;11,7;0;0;0;0;11,7;30;1;02/05/2024
SOL;SOL_3;Moquette et sols PVC : Remplacement revêtement de sol, arrachage, préparation du support, surfaçage, fournitures de pose, hors revêtement;M2;7,6;0;11,5;30,6;7,6;57,3;10;1;02/05/2024
SOL;SOL_4;Moquette : Remplacement revêtement de sol, arrachage, préparation du support, surfaçage, fournitures de pose, hors revêtement;M2;2,49;0;1,87;2,13;2,49;8,98;10;1;02/05/2024
SOL;SOL_5;Sol PVC : Remplacement revêtement de sol, arrachage, préparation du support, surfaçage, fournitures de pose, hors revêtement;M2;7,6;0;11,5;30,6;7,6;57,3;10;1;02/05/2024
SOL;SOL_6;Décontamination / nettoyage des Sol Autre revêtement (céramique, plastique, bois, béton, ...);M2;0;0,1;0,2;0;0;0,3;10;2;02/05/2024
SOL;SOL_7;Décontamination / nettoyage des Sol Moquette (extraction et nettoyage) ;M2;0;0,2;0,3;0;0;0,5;10;2;02/05/2024
SOL;SOL_8;Fourniture moquette à coller en rouleau classique;M2;0;23,6;0;0;0;23,6;10;1;02/05/2024
SOL;SOL_9;Fourniture sols vinyle (linoleum) à coller en rouleau classique;M2;0;4,19;0;0;0;4,19;25;1;02/05/2024
SOL;SOL_10;Ragréage sol si nécessaire y compris fournitures;M2;0;3,58;0;0;0;3,58;50;1;02/05/2024
SOL;SOL_11;Moquette et sols PVC : Remplacement revêtement de sol, préparation du support, surfaçage, fournitures de pose hors revêtement;M2;12,45;3,58;9,35;10,65;12,45;48,48;50;2;02/05/2024
SOL;SOL_12;Moquette : Remplacement revêtement de sol, arrachage et fournitures de pose, hors revêtement;M2;2,49;0;1,87;2,13;2,49;8,98;10;1;02/05/2024
SOL;SOL_13;Moquette : Remplacement revêtement de sol, arrachage, préparation du support, surfaçage, fournitures de pose hors revêtement;M2;12,45;3,58;9,35;10,65;12,45;48,48;50;3;02/05/2024
SOL;SOL_14;PVC : Remplacement revêtement de sol, arrachage et fournitures de pose, hors revêtement;M2;7,6;0;11,5;30,6;7,6;57,3;10;1;02/05/2024
SOL;SOL_15;PVC : Remplacement revêtement de sol, arrachage, préparation du support, surfaçage, fournitures de pose hors revêtement;M2;38;3,58;57,5;153;38;290,08;50;3;02/05/2024
SOL;SOL_16;Fourniture Dalle Moquette à coller ou adhésive classique;M2;0;3,83;0;0;0;3,83;10;1;02/05/2024
SOL;SOL_17;Fourniture Dalle PVC à coller ou adhésive classique;M2;0;11,5;0;0;0;11,5;10;1;02/05/2024
